Timestamp, Time_Elapsed(s), Angle(deg)
-------------------------------------
16:18:34.582, 2332.308, 56.87
16:18:34.583, 2332.308, 56.87
16:18:34.583, 2332.308, 56.87
16:18:34.584, 2332.308, 56.87
16:18:34.585, 2332.308, 56.87
16:18:34.585, 2332.308, 56.87
16:18:34.586, 2332.308, 56.87
16:18:34.587, 2332.308, 56.87
16:18:34.587, 2332.308, 56.95
16:18:34.588, 2332.308, 56.95
16:18:34.590, 2332.308, 56.95
16:18:34.593, 2332.308, 56.95
16:18:34.598, 2332.308, 56.95
16:18:34.601, 2332.308, 56.95
16:18:34.646, 2332.371, 56.95
16:18:34.646, 2332.371, 56.95
16:18:34.647, 2332.371, 56.95
16:18:34.647, 2332.371, 56.95
16:18:34.648, 2332.371, 57.04
16:18:34.649, 2332.371, 57.04
16:18:34.649, 2332.371, 57.04
16:18:34.650, 2332.371, 57.04
16:18:34.650, 2332.371, 57.04
16:18:34.651, 2332.371, 57.04
16:18:34.651, 2332.371, 57.04
16:18:34.652, 2332.371, 57.13
16:18:34.653, 2332.371, 57.13
16:18:34.655, 2332.371, 57.22
16:18:34.658, 2332.371, 57.22
16:18:34.710, 2332.435, 57.22
16:18:34.711, 2332.435, 57.30
16:18:34.712, 2332.435, 57.39
16:18:34.713, 2332.435, 57.39
16:18:34.714, 2332.435, 57.39
16:18:34.715, 2332.435, 57.48
16:18:34.715, 2332.435, 57.57
16:18:34.716, 2332.435, 57.66
16:18:34.717, 2332.435, 57.74
16:18:34.717, 2332.435, 57.83
16:18:34.718, 2332.435, 58.01
16:18:34.718, 2332.435, 58.10
16:18:34.719, 2332.435, 58.18
16:18:34.720, 2332.435, 58.27
16:18:34.720, 2332.435, 58.36
16:18:34.721, 2332.435, 58.54
16:18:34.725, 2332.435, 58.62
16:18:34.729, 2332.435, 58.71
16:18:34.733, 2332.435, 58.89
16:18:34.736, 2332.435, 58.97
16:18:34.740, 2332.435, 59.15
16:18:34.768, 2332.494, 59.24
16:18:34.769, 2332.494, 59.41
16:18:34.769, 2332.494, 59.50
16:18:34.770, 2332.494, 59.59
16:18:34.771, 2332.494, 59.77
16:18:34.771, 2332.494, 59.85
